Temple,Status,Latitude,Longitude,Dedication Date
Cochabamba Bolivia Temple,Dedicated,-17.363644,-66.147644,4/30/2000
Cody Wyoming Temple,Announced,44.51148354,-109.081796,Announced
Colonia Ju�rez Chihuahua Mexico Temple,Dedicated,30.305251,-108.082038,3/6/1999
Colorado Springs Colorado Temple,Unknown Location,38.83545889,-104.8447851,Announced - Location TBD
Columbia River Washington Temple,Dedicated,46.226733,-119.274893,11/18/2001
Columbia South Carolina Temple,Dedicated,33.959638,-80.893981,10/16/1999
Columbus Ohio Temple,Dedicated,39.994089,-83.113214,9/4/1999
Concepci�n Chile Temple,Dedicated,-36.851499,-73.049966,10/28/2018
Copenhagen Denmark Temple,Dedicated,55.692677,12.53392,5/23/2004
C�rdoba Argentina Temple,Dedicated,-31.358873,-64.245809,5/17/2015
Cuernavaca Mexico Temple,Announced,18.93473808,-99.226499,Announced
Culic�n Mexico Temple,Unknown Location,24.81160762,-107.3939597,Announced - Location TBD
Curitiba Brazil Temple,Dedicated,-25.441304,-49.342138,6/1/2008
Cusco Peru Temple,Announced,-13.51593102,-71.984943,Announced
Dallas Texas Temple,Dedicated,32.914288,-96.796525,10/19/1984
Davao Philippines Temple,Construction,7.088597,125.579755,Under Construction
Denver Colorado Temple,Dedicated,39.568698,-104.965782,10/24/1986
Des Moines Iowa Temple,Unknown Location,41.61027,-93.6019,Announced - Location TBD
Deseret Peak Utah Temple,Construction,40.57266168,-112.31397,Under Construction
Detroit Michigan Temple,Dedicated,42.566266,-83.229983,10/23/1999
Draper Utah Temple,Dedicated,40.495893,-111.840748,3/20/2009
Dubai United Arab Emirates Temple,Unknown Location,25.20791123,55.28983938,Announced - Location TBD
Durban South Africa Temple,Dedicated,-29.708455,31.073671,2/16/2020
Edinburgh Scotland Temple,Unknown Location,55.95255557,-3.198201227,Announced - Location TBD
Edmonton Alberta Temple,Dedicated,53.489593,-113.570538,12/11/1999
Eket Nigeria Temple,Unknown Location,4.647051928,7.941908618,Announced - Location TBD
Elko Nevada Temple,Construction,40.85249525,-115.750084,Under Construction
Ephraim Utah Temple,Construction,39.36353987,-111.576,Under Construction
Fairbanks Alaska Temple,Unknown Location,64.85967035,-147.7294374,Announced - Location TBD
Farmington New Mexico Temple,Construction,36.76909739,-108.1654604,Under Construction
Feather River California Temple,Dedicated,39.146344,-121.639963,10/8/2023
Florian�polis Brazil Temple,Unknown Location,-27.6001,-48.5521,Announced - Location TBD
Fort Collins Colorado Temple,Dedicated,40.494269,-105.038685,10/16/2016
Fort Lauderdale Florida Temple,Dedicated,26.070899,-80.355727,5/4/2014
Fort Worth Texas Temple,Construction,32.51684225,-97.3575068,Under Construction
Fortaleza Brazil Temple,Dedicated,-3.747847,-38.46101,6/2/2019
Frankfurt Germany Temple,Dedicated,50.258246,8.641316,8/28/1987
Freetown Sierra Leone Temple,Construction,8.38763235,-13.1387593,Under Construction
Freiberg Germany Temple,Dedicated,50.922315,13.322541,6/29/1985
Fresno California Temple,Dedicated,36.828257,-119.852911,4/9/2000
Fukuoka Japan Temple,Dedicated,33.572618,130.391704,6/11/2000
Gilbert Arizona Temple,Dedicated,33.291378,-111.737365,3/2/2014
Goi�nia Brazil Temple,Unknown Location,-16.71216571,-49.25247308,Announced - Location TBD
Grand Junction Colorado Temple,Construction,39.10144203,-108.551144,Under Construction
Grand Rapids Michigan Temple,Announced,42.91993061,-85.5583043,Announced
Guadalajara Mexico Temple,Dedicated,20.66155,-103.42307,4/29/2001
Guatemala City Guatemala Temple,Dedicated,14.583303,-90.485576,12/14/1984
Guayaquil Ecuador Temple,Dedicated,-2.156246,-79.904877,8/1/1999
Halifax Nova Scotia Temple,Dedicated,44.66999,-63.489038,11/14/1999
Hamburg Germany Temple,Unknown Location,53.59204491,9.959683221,Announced - Location TBD
Hamilton New Zealand Temple,Dedicated,-37.826397,175.224885,4/22/1958
Harare Zimbabwe Temple,Construction,-17.804085,31.082426,Under Construction
Harrisburg Pennsylvania Temple,Announced,40.28396312,-76.80293568,Announced
Hartford Connecticut Temple,Dedicated,41.73780896,-72.844528,11/20/2016
Heber Valley Utah Temple,Construction,40.50665493,-111.389284,Under Construction
Helena Montana Temple,Dedicated,46.63372488,-112.01924,6/18/2023
Helsinki Finland Temple,Dedicated,60.225193,24.781785,10/22/2006
Hermosillo Sonora Mexico Temple,Dedicated,29.102548,-110.94687,27 Febrary 2000
Hong Kong China Temple,Dedicated,22.34045,114.177336,5/26/1996
Honolulu Hawaii Temple,Unknown Location,21.31358407,-157.8537959,Announced - Location TBD
Houston Texas Temple,Dedicated,29.999729,-95.533038,8/26/2000
Houston Texas South Temple,Unknown Location,29.56634,-95.3853,Announced - Location TBD
Huancayo Peru Temple,Unknown Location,-12.02583548,-75.21450533,Announced - Location TBD
Huehuetenango Guatemala Temple,Announced,15.32618492,-91.48993,Announced
Idaho Falls Idaho Temple,Dedicated,43.499819,-112.0415,9/25/1945
Iloilo Philippines Temple,Unknown Location,10.80157138,122.5330693,Announced - Location TBD
Indianapolis Indiana Temple,Dedicated,39.955588,-86.165741,8/23/2015
Iquitos Peru Temple,Announced,-3.76081711,-73.26756,Announced
Jacksonville Florida Temple,Announced,30.16175005,-81.6235071,Announced
Jakarta Indonesia Temple,Announced,-6.24090219,106.837533,Announced
Jo�o Pessoa Brazil Temple,Announced,-7.1242103,-34.829102,Announced
Johannesburg South Africa Temple,Dedicated,-26.178051,28.039195,8/24/1985
Jordan River Utah Temple,Dedicated,40.566354,-111.931417,11/20/1981
Kahului Hawaii Temple,Unknown Location,20.88886777,-156.4731095,Announced - Location TBD
Kananga Democratic Republic of the Congo Temple,Unknown Location,-5.793088206,22.35549208,Announced - Location TBD
Kansas City Missouri Temple,Dedicated,39.220473,-94.501331,5/6/2012
Kaohsiung Taiwan Temple,Construction,22.6507433,120.3455124,Under Construction
Kinshasa Democratic Republic of the Congo Temple,Dedicated,-4.327478,15.27371,4/14/2019
Knoxville Tennessee Temple,Construction,35.86456549,-84.2182371,Under Construction
Kona Hawaii Temple,Dedicated,19.641614,-155.985524,1/23/2000
Kumasi Ghana Temple,Announced,6.70235776,-1.64114052,Announced
Kyiv Ukraine Temple,Dedicated,50.404517,30.395565,8/29/2010
La Paz Bolivia Temple,Announced,-16.54418267,-68.08986,Announced
Lagos Nigeria Temple,Announced,6.44490729,3.43138695,Announced
Laie Hawaii Temple,Dedicated,21.647207,-157.930658,11/30/2019
Laoag Philippines Temple,Unknown Location,18.21511834,120.5853743,Announced - Location TBD
Las Vegas Nevada Temple,Dedicated,36.174597,-115.020052,12/16/1989
Layton Utah Temple,Construction,41.061699,-111.938379,Under Construction
Lehi Utah Temple,Unknown Location,40.39246,-111.853,Announced - Location TBD
Lethbridge Alberta Temple,Announced,49.67041434,-112.91089,Announced
Lima Peru Los Olivos Temple,Dedicated,-12.019992,-77.054237,1/14/2024
Lima Peru Temple,Dedicated,-12.069713,-76.948897,1/10/1986
Lindon Utah Temple,Construction,40.33730438,-111.6953838,Under Construction
Lisbon Portugal Temple,Dedicated,38.779187,-9.098784,9/15/2019
Logan Utah Temple,Dedicated,41.734161,-111.827943,17 May 1884
London England Temple,Dedicated,51.162566,-0.052181,9/9/1958
Londrina Brazil Temple,Announced,-23.34460281,-51.160186,Announced
Lone Mountain Nevada Temple,Announced,36.23619575,-115.304183,Announced
Los Angeles California Temple,Dedicated,34.052801,-118.433909,3/14/1956
Louisville Kentucky Temple,Dedicated,38.32112,-85.488843,3/19/2000
Luanda Angola Temple,Unknown Location,-8.840256677,13.27302267,Announced - Location TBD
Lubbock Texas Temple,Dedicated,33.528961,-101.941413,4/21/2002
Lubumbashi Democratic Republic of the Congo Temple,Construction,-11.64889247,27.468461,Under Construction
Macei� Brazil Temple,Announced,-9.60334597,-35.744046,Announced
Madrid Spain Temple,Dedicated,40.40009,-3.63158,3/19/1999
Managua Nicaragua Temple,Construction,12.09094774,-86.234252,Under Construction
Manaus Brazil Temple,Dedicated,-3.073907,-60.089331,6/10/2012
Manhattan New York Temple,Dedicated,40.773112,-73.981622,6/13/2004
Manila Philippines Temple,Dedicated,14.601356,121.069818,9/25/1984
Manti Utah Temple,Dedicated,39.272906,-111.63376,25 April 1877
Maracaibo Venezuela Temple,Unknown Location,10.62921,-71.6441,Announced - Location TBD
Mbuji-Mayi Democratic Republic of the Congo Temple,Unknown Location,-6.069959479,23.60931029,Announced - Location TBD
McAllen Texas Temple,Dedicated,26.268118,-98.211125,10/8/2023
McKinney Texas Temple,Announced,33.13031793,-96.6310637,Announced
Medford Oregon Temple,Dedicated,42.373324,-122.932746,4/16/2000
Melbourne Australia Temple,Dedicated,-37.868774,145.212622,6/16/2000
Memphis Tennessee Temple,Dedicated,35.240752,-89.839334,4/23/2000
Mendoza Argentina Temple,Construction,-32.863757,-68.881592,Under Construction
M�rida Mexico Temple,Dedicated,20.965784,-89.631061,7/8/2000
Meridian Idaho Temple,Dedicated,43.671022,-116.415115,11/19/2017
Mesa Arizona Temple,Dedicated,33.412876,-111.819571,10/26/2027
Mexico City Benem�rito Mexico Temple,Announced,19.5348353,-99.150919,Announced
Mexico City Mexico Temple,Dedicated,19.465905,-99.086754,12/2/1983
Miraflores Guatemala City Guatemala Temple,Construction,14.60723616,-90.544967,Under Construction
Missoula Montana Temple,Unknown Location,46.87774934,-114.0145333,Announced - Location TBD
Modesto California Temple,Construction,37.70279243,-121.04679,Under Construction
Monrovia Liberia Temple,Unknown Location,6.368728504,-10.87218119,Announced - Location TBD
Monterrey Mexico Temple,Dedicated,25.589364,-100.259975,4/28/2002
Montevideo Uruguay Temple,Dedicated,-34.888444,-56.074088,3/18/2001
Monticello Utah Temple,Dedicated,37.877917,-109.347066,7/26/1998
Montpelier Idaho Temple,Construction,42.31796632,-111.301722,Under Construction
Montreal Quebec Temple,Dedicated,45.563335,-73.490616,6/4/2000
Moses Lake Washington Temple,Dedicated,47.103441,-119.272362,9/17/2023
Mount Timpanogos Utah Temple,Dedicated,40.393166,-111.770509,10/13/1996
Naga Philippines Temple,Unknown Location,13.62256467,123.1958573,Announced - Location TBD
Nairobi Kenya Temple,Construction,-1.26529552,36.739816,Under Construction
Nashville Tennessee Temple,Dedicated,35.948839,-86.860329,5/21/2000
Natal Brazil Temple,Announced,-5.87785295,-35.222713,Announced
Nauvoo Illinois Temple,Dedicated,40.55048,-91.384378,6/27/2002
Neiafu Tonga Temple,Construction,-18.64422855,-173.9776,Under Construction
Newport Beach California Temple,Dedicated,33.629627,-117.848766,8/28/2005
Nuku'alofa Tonga Temple,Dedicated,-21.162561,-175.27232,8/9/1983
Oakland California Temple,Dedicated,37.808027,-122.19912,11/19/1964
Oaxaca Mexico Temple,Dedicated,17.041554,-96.713503,3/11/2000
Ogden Utah Temple,Dedicated,41.227786,-111.971506,1/20/1972
Okinawa Japan Temple,Dedicated,26.358285,127.801718,11/12/2023
Oklahoma City Oklahoma Temple,Dedicated,35.591846,-97.7267,7/30/2000
Oquirrh Mountain Utah Temple,Dedicated,40.551145,-111.98751,8/21/2009
Orem Utah Temple,Dedicated,40.270755,-111.720916,1/21/2024
Orlando Florida Temple,Dedicated,28.507348,-81.509578,10/9/1994
Osaka Japan Temple,Announced,34.81677777,135.715121,Announced
Oslo Norway Temple,Announced,59.85795039,10.48033456,Announced
Pachuca Mexico Temple,Announced,20.10227408,-98.762569,Announced
Pago Pago American Samoa Temple,Construction,-14.333959,-170.73199,Under Construction
Palmyra New York Temple,Dedicated,43.039148,-77.237063,4/6/2000
Panama City Panama Temple,Dedicated,8.99146,-79.57048,8/10/2008
Papeete Tahiti Temple,Dedicated,-17.536618,-149.556019,10/27/1983
Paris France Temple,Dedicated,48.817892,2.123171,5/21/2017
Payson Utah Temple,Dedicated,40.019258,-111.749175,6/7/2015
Perth Australia Temple,Dedicated,-31.906905,115.869834,5/20/2001
Philadelphia Pennsylvania Temple,Dedicated,39.959174,-75.168072,9/18/2016
Phnom Penh Cambodia Temple,Construction,11.569891,104.895707,Under Construction
Phoenix Arizona Temple,Dedicated,33.698555,-112.172329,11/16/2014
Pittsburgh Pennsylvania Temple,Construction,40.69404827,-80.140918,Under Construction
Piura Peru Temple,Unknown Location,-5.17318868,-80.66382047,Announced - Location TBD
Pocatello Idaho Temple,Dedicated,42.915259,-112.406374,11/7/2021
Port Moresby Papua New Guinea Temple,Construction,-9.477474,147.176546,Under Construction
Port Vila Vanuatu Temple,Construction,-17.70379129,168.30421,Under Construction
Port-au-Prince Haiti Temple,Dedicated,18.529017,-72.268143,9/1/2019
Portland Oregon Temple,Dedicated,45.425345,-122.742224,8/19/1989
Porto Alegre Brazil Temple,Dedicated,-30.034047,-51.157868,12/17/2000
Praia Cape Verde Temple,Dedicated,14.918789,-23.511157,6/19/2022
Preston England Temple,Dedicated,53.672476,-2.631275,6/7/1998
Provo City Center Temple,Dedicated,40.232667,-111.659299,3/20/2016
Provo Utah Rock Canyon Temple,Dedicated,40.263666,-111.639779,2/9/1972
Puebla Mexico Temple,Construction,19.085418,-98.235514,Under Construction
Quer�taro Mexico Temple,Construction,20.61335562,-100.410611,Under Construction
Quetzaltenango Guatemala Temple,Dedicated,14.846493,-91.542517,12/11/2011
Quito Ecuador Temple,Dedicated,-0.213711,-78.441018,11/20/2022
Raleigh North Carolina Temple,Dedicated,35.732111,-78.861542,18 Dcember 1999
Recife Brazil Temple,Dedicated,-8.03639,-34.911123,12/15/2000
Red Cliffs Utah Temple,Dedicated,37.082184,-113.519741,3/24/2024
Redlands California Temple,Dedicated,34.049037,-117.140579,9/14/2003
Regina Saskatchewan Temple,Dedicated,50.420981,-104.54168,11/14/1999
Reno Nevada Temple,Dedicated,39.534611,-119.898913,4/23/2000
Retalhuleu Guatemala Temple,Unknown Location,14.52531225,-91.68331555,Announced - Location TBD
Rexburg Idaho Temple,Dedicated,43.810922,-111.778979,2/10/2008
Ribeir�o Preto Brazil Temple,Announced,-21.21599523,-47.808925,Announced
Richmond Virginia Temple,Dedicated,37.672884,-77.535372,5/7/2023
Rio de Janeiro Brazil Temple,Dedicated,-23.000894,-43.399918,5/8/2022
Roanoke Virginia Temple,Unknown Location,37.2992185,-79.97957389,Announced - Location TBD
Rome Italy Temple,Dedicated,41.970437,12.544764,3/12/2019
Rosario Argentina Temple,Unknown Location,-32.9707,-60.7284,Announced - Location TBD
Russia Temple,Unknown Location,55.81126634,37.60917161,Announced - Location TBD
Sacramento California Temple,Dedicated,38.635116,-121.193925,9/3/2006
Salt Lake Temple,Dedicated,40.770468,-111.891958,6 April 1893
Salta Argentina Temple,Construction,-24.837197,-65.470001,Under Construction
Salvador Brazil Temple,Construction,-12.929251,-38.386386,Under Construction
San Antonio Texas Temple,Dedicated,29.641481,-98.488789,5/22/2005
San Diego California Temple,Dedicated,32.866389,-117.228769,4/25/1993
San Jose California Temple,Announced,37.35297371,-122.04434,Announced
San Jos� Costa Rica Temple,Dedicated,9.986418,-84.184831,6/4/2000
San Juan Puerto Rico Temple,Dedicated,18.385623,-66.029896,1/15/2023
San Luis Potos� Mexico Temple,Construction,22.15320582,-101.01515,Under Construction
San Pedro Sula Honduras Temple,Construction,15.522544,-88.036856,Under Construction
San Salvador El Salvador Temple,Dedicated,13.683347,-89.246822,8/21/2011
Santa Cruz Bolivia Temple,Announced,-17.73855162,-63.17467,Announced
Santiago Chile Temple,Dedicated,-33.436174,-70.609521,9/15/1983
Santiago Philippines Temple,Unknown Location,16.69222082,121.5564245,Announced - Location TBD
Santiago West Chile Temple,Announced,-33.49296743,-70.73638,Announced
Santo Domingo Dominican Republic Temple,Dedicated,18.466567,-69.917144,9/17/2000
Santos Brazil Temple,Announced,-23.94286335,-46.334198,Announced
S�o Paulo Brazil Temple,Dedicated,-23.585174,-46.722764,11/2/1978
S�o Paulo East Brazil Temple,Announced,-23.55518816,-46.54444,Announced
Sapporo Japan Temple,Dedicated,43.0249,141.4457,8/21/2016
Saratoga Springs Utah Temple,Dedicated,40.34422619,-111.932607,8/13/2023
Savai'i Samoa Temple,Announced,-13.75189602,-172.2318,Announced
Seattle Washington Temple,Dedicated,47.58407,-122.140876,11/21/1980
Seoul Korea Temple,Dedicated,37.558913,126.931286,12/14/1985
Shanghai People's Republic of China Temple,Unknown Location,31.28296972,121.4306199,Announced - Location TBD
Singapore Temple,Announced,1.27995248,103.784842,Announced
Smithfield Utah Temple,Construction,41.84012916,-111.852673,Under Construction
Snowflake Arizona Temple,Dedicated,34.502494,-110.111607,3/3/2002
Spokane Washington Temple,Dedicated,47.620163,-117.22069,8/21/1999
Springfield Missouri Temple,Unknown Location,37.19366916,-93.31672511,Announced - Location TBD
St. George Utah Temple,Dedicated,37.100535,-113.578041,6 April 1877
St. Louis Missouri Temple,Dedicated,38.639651,-90.464685,6/1/1997
St. Paul Minnesota Temple,Dedicated,44.980261,-92.965199,1/9/2000
Star Valley Wyoming Temple,Dedicated,42.712073,-110.932532,10/30/2016
Stockholm Sweden Temple,Dedicated,59.124676,18.109177,7/2/1985
Suva Fiji Temple,Dedicated,-18.119705,178.438559,6/18/2000
Sydney Australia Temple,Dedicated,-33.775617,151.050592,9/20/1984
Syracuse Utah Temple,Construction,41.099938,-112.076542,Under Construction
Tacloban City Philippines Temple,Announced,11.22377084,124.984491,Announced
Tacoma Washington Temple,Unknown Location,47.26455021,-122.4705128,Announced - Location TBD
Taipei Taiwan Temple,Dedicated,25.031377,121.527794,11/17/1984
Tallahassee Florida Temple,Construction,30.520117,-84.238222,Under Construction
Tampa Florida Temple,Announced,27.86733023,-82.266875,Announced
Tampico Mexico Temple,Dedicated,22.254262,-97.855869,5/20/2000
Tarawa Kiribati Temple,Announced,1.34948484,173.040061,Announced
Taylorsville Utah Temple,Construction,40.66671159,-111.95411,Under Construction
Tegucigalpa Honduras Temple,Dedicated,14.052174,-87.238019,3/17/2013
Teresina Brazil Temple,Announced,-5.08842094,-42.779871,Announced
Teton River Idaho Temple,Announced,43.8611138,-111.779946,Announced
The Gila Valley Arizona Temple,Dedicated,32.862971,-109.789974,5/23/2010
The Hague Netherlands Temple,Dedicated,52.054487,4.502979,9/8/2002
Tijuana Mexico Temple,Dedicated,32.488713,-116.929441,12/13/2015
Tokyo Japan Temple,Dedicated,35.652838,139.724539,10/29/1980
Toluca Mexico Temple,Announced,19.25230253,-99.626874,Announced
Toronto Ontario Temple,Dedicated,43.744338,-79.746059,8/25/1990
Torre�n Mexico Temple,Construction,25.55331849,-103.499227,Under Construction
Trujillo Peru Temple,Dedicated,-8.100149,-79.058515,6/21/2015
Tucson Arizona Temple,Dedicated,32.338454,-110.949174,8/13/2017
Tuguegarao City Philippines Temple,Unknown Location,17.6239081,121.7229999,Announced - Location TBD
Tula Mexico Temple,Unknown Location,20.05636262,-99.3351742,Announced - Location TBD
Tulsa Oklahoma Temple,Unknown Location,36.1576378,-95.96918693,Announced - Location TBD
Tuxtla Guti�rrez Mexico Temple,Dedicated,16.764164,-93.159155,3/12/2000
Twin Falls Idaho Temple,Dedicated,42.586827,-114.441509,8/24/2008
Ulaanbaatar Mongolia Temple,Unknown Location,47.94701928,106.9609528,Announced - Location TBD
Urdaneta Philippines Temple,Construction,15.938567,120.581762,Under Construction
Uturoa French Polynesia Temple,Unknown Location,-16.72863133,-151.4446896,Announced - Location TBD
Vancouver British Columbia Temple,Dedicated,49.151212,-122.658009,5/2/2010
Vancouver Washington Temple,Announced,45.60772261,-122.46934,Announced
Veracruz Mexico Temple,Dedicated,19.13441,-96.10626,7/9/2000
Vernal Utah Temple,Dedicated,40.453205,-109.537413,11/2/1997
Victoria British Columbia Temple,Unknown Location,48.4362471,-123.3651176,Announced - Location TBD
Vienna Austria Temple,Announced,48.24312657,16.3493719,Announced
Villahermosa Mexico Temple,Dedicated,17.981276,-92.937375,5/21/2000
Vi�a del Mar Chile Temple,Announced,-33.02085481,-71.5456912,Announced
Vit�ria Brazil Temple,Announced,-20.29637999,-40.304767,Announced
Washington D.C. Temple,Dedicated,39.014079,-77.065624,11/22/1974
Wellington New Zealand Temple,Announced,-41.12326075,174.85459,Announced
West Jordan Utah,Unknown Location,40.6093,-111.937,Announced - Location TBD
Wichita Kansas Temple,Announced,37.77509379,-97.373413,Announced
Willamette Valley Oregon Temple,Construction,44.08885894,-123.03278,Under Construction
Winchester Virginia Temple,Announced,39.18827326,-78.1913495,Announced
Winnipeg Manitoba Temple,Dedicated,49.800544,-97.195212,10/31/2021
Winter Quarters Nebraska Temple,Dedicated,41.334075,-95.96619,4/22/2001
Yigo Guam Temple,Dedicated,13.541741,144.890143,5/22/2022
Yorba Linda California Temple,Construction,33.8983749,-117.834721,Under Construction
Yuma Arizona Temple,Unknown Location,32.69041549,-114.6242903,Announced - Location TBD
